run,filter,eligible_candidates,eligible_positives,eligible_positive_rate,max_recall_against_base,recall_target,status,score_threshold,alerts,alerts_per_base_event_day,alerts_per_eligible_event_day,true_positive_alerts,precision,recall_against_base,base_event_days,eligible_event_days
regenerated,base_future_distance_le_4km,5111847,231725,0.0453309733252971,1.0,0.1,ok,0.843945376877356,80266,37.28100325127729,37.28100325127729,23173,0.28870256397478383,0.10000215773006797,2153,2153
regenerated,base_future_distance_le_4km,5111847,231725,0.0453309733252971,1.0,0.15,ok,0.8184172652057863,129596,60.19321876451463,60.19321876451463,34759,0.26821043859378374,0.15000107886503397,2153,2153
regenerated,base_future_distance_le_4km,5111847,231725,0.0453309733252971,1.0,0.2,ok,0.787138759673654,184248,85.57733395262424,85.57733395262424,46345,0.251535973253441,0.2,2153,2153
regenerated,base_future_distance_le_4km,5111847,231725,0.0453309733252971,1.0,0.25,ok,0.7436147198776902,244820,113.71110078959592,113.71110078959592,57932,0.23663099419982028,0.25000323659510193,2153,2153
regenerated,distance_le_3km,3627933,214302,0.0590699993632738,0.9248117380515698,0.1,ok,0.843945376877356,80266,37.28100325127729,37.28100325127729,23173,0.28870256397478383,0.10000215773006797,2153,2153
regenerated,distance_le_3km,3627933,214302,0.0590699993632738,0.9248117380515698,0.15,ok,0.8184172652057863,129596,60.19321876451463,60.19321876451463,34759,0.26821043859378374,0.15000107886503397,2153,2153
regenerated,distance_le_3km,3627933,214302,0.0590699993632738,0.9248117380515698,0.2,ok,0.787138759673654,184248,85.57733395262424,85.57733395262424,46345,0.251535973253441,0.2,2153,2153
regenerated,distance_le_3km,3627933,214302,0.0590699993632738,0.9248117380515698,0.25,ok,0.7436147198776902,244820,113.71110078959592,113.71110078959592,57932,0.23663099419982028,0.25000323659510193,2153,2153
regenerated,distance_le_2km,2257811,187065,0.08285237338289166,0.8072715503290538,0.1,ok,0.843945376877356,80266,37.28100325127729,37.28100325127729,23173,0.28870256397478383,0.10000215773006797,2153,2153
regenerated,distance_le_2km,2257811,187065,0.08285237338289166,0.8072715503290538,0.15,ok,0.8184172652057863,129596,60.19321876451463,60.19321876451463,34759,0.26821043859378374,0.15000107886503397,2153,2153
regenerated,distance_le_2km,2257811,187065,0.08285237338289166,0.8072715503290538,0.2,ok,0.787138759673654,184248,85.57733395262424,85.57733395262424,46345,0.251535973253441,0.2,2153,2153
regenerated,distance_le_2km,2257811,187065,0.08285237338289166,0.8072715503290538,0.25,ok,0.7436147198776902,244817,113.70970738504413,113.70970738504413,57932,0.23663389388808784,0.25000323659510193,2153,2153
regenerated,stage1_probability_ge_0_10,1975749,151772,0.07681744998985195,0.6549660157514295,0.1,ok,0.8321475092072129,76120,35.35531816070599,40.06315789473684,23173,0.30442722017866525,0.10000215773006797,2153,1900
regenerated,stage1_probability_ge_0_10,1975749,151772,0.07681744998985195,0.6549660157514295,0.15,ok,0.7894968807675014,124455,57.80538783093358,65.50263157894737,34759,0.27928970310554013,0.15000107886503397,2153,1900
regenerated,stage1_probability_ge_0_10,1975749,151772,0.07681744998985195,0.6549660157514295,0.2,ok,0.7229108442934971,183021,85.00743149094286,96.32684210526315,46345,0.2532223078225996,0.2,2153,1900
regenerated,stage1_probability_ge_0_10,1975749,151772,0.07681744998985195,0.6549660157514295,0.25,ok,0.6545341106676615,251563,116.84300975383186,132.40157894736842,57932,0.2302882379364215,0.25000323659510193,2153,1900
