feature,importance_split,importance_gain
top_threshold,453,174809.0712416172
pdsi,1126,66052.02046132088
distance_to_current_fire_px,658,60565.70965719223
elevation,1170,58671.12718653679
stage1_probability,853,57528.28549194336
forecast_wind_alignment,1248,44862.716668605804
bearing_from_fire_deg,1219,41679.341903209686
minimum_temperature,770,41567.674993276596
specific_humidity,887,41476.3118956089
maximum_temperature,733,40579.52556705475
wind_direction,575,38784.52242732048
wind_alignment,1237,35513.87175297737
forecast_temperature,532,34665.01974630356
forecast_wind_direction,483,34633.786920547485
wind_speed,642,29592.325268745422
forecast_specific_humidity,482,25562.69869542122
energy_release_component,448,22509.176434993744
forecast_wind_speed,532,22398.224472999573
ndvi,731,20029.07371711731
evi2,736,19019.55105781555
slope_alignment,752,16242.722594499588
has_current_fire,119,13377.099323749542
forecast_total_precipitation,223,11453.569416046143
slope,560,9918.280107498169
landcover_class,261,6908.776025533676
aspect,437,6423.660879611969
total_precipitation,82,6029.883786201477
stage1_top_mask,33,1291.9864473342896
current_fire_at_candidate,60,1203.2424669265747
distance_to_current_fire_km,0,0.0
top_fraction,0,0.0
stage1_threshold_mask,0,0.0
threshold,0,0.0
