feature,importance_split,importance_gain
distance_to_current_fire_px,805,232132.9536600113
stage1_top_mask,520,159960.4255617857
current_fire_at_candidate,123,120823.14785885811
has_current_fire,187,75665.02687954903
top_threshold,481,46413.990305900574
pdsi,1141,42388.378593206406
specific_humidity,941,37415.49816608429
bearing_from_fire_deg,1421,35467.53970789909
forecast_temperature,572,30789.83478295803
forecast_wind_speed,578,30186.48804998398
elevation,1245,29418.049099087715
forecast_wind_alignment,1323,27272.987790822983
forecast_wind_direction,563,27199.1364030838
stage1_probability,882,26079.561010360718
maximum_temperature,785,23426.94077515602
minimum_temperature,824,23418.099548101425
wind_speed,754,22985.13940668106
wind_alignment,1207,22225.030064582825
forecast_specific_humidity,585,20913.109916210175
wind_direction,641,20366.75164580345
energy_release_component,460,13189.262530565262
ndvi,762,12523.911205291748
evi2,779,11643.292741060257
forecast_total_precipitation,199,11265.73772072792
slope_alignment,782,10871.568340659142
slope,608,7065.666184902191
landcover_class,269,5983.595257163048
aspect,514,4551.679825186729
total_precipitation,75,1818.145860671997
distance_to_current_fire_km,0,0.0
top_fraction,0,0.0
stage1_threshold_mask,0,0.0
threshold,0,0.0
