event_id,target_date,window_id,rolling_step,radius_km,naive_radius_km,candidate_count,model_candidate_count,naive_candidate_count,model_alert_count,naive_alert_count,model_true_alert_count,naive_true_alert_count,model_precision,naive_precision,alert_reduction_vs_naive,dropped_previous_alerts,dropped_previous_2km_alerts,ap,auc,fixed_3day_naive_alert_count,fixed_3day_naive_true_alert_count,fixed_3day_naive_precision,final_day_model_alert_count,final_day_model_true_alert_count,final_day_model_precision,final_day_alert_reduction_vs_fixed_naive
fire_23654679,2020-01-08,fire_23654679_2020-01-08_2020-01-10,0,2.0,4.0,462,108,396,0,396,0,24,0.0,0.06060606060606061,1.0,0,0,0.6075708541751171,0.7728900255754476,,,,,,,
fire_23654679,2020-01-09,fire_23654679_2020-01-08_2020-01-10,1,3.0,4.0,830,520,830,23,830,0,13,0.0,0.01566265060240964,0.9722891566265061,0,0,0.020434642306734703,0.39584281596115917,,,,,,,
fire_23654679,2020-01-10,fire_23654679_2020-01-08_2020-01-10,2,4.0,4.0,473,407,407,0,407,0,0,0.0,0.0,1.0,23,23,,,396.0,0.0,0.0,0.0,0.0,0.0,1.0
fire_23654679,2020-01-09,fire_23654679_2020-01-09_2020-01-14,0,2.0,4.0,830,280,830,23,830,0,13,0.0,0.01566265060240964,0.9722891566265061,0,0,0.01863124926817102,0.18658088235294118,,,,,,,
fire_23654679,2020-01-10,fire_23654679_2020-01-09_2020-01-14,1,3.0,4.0,473,275,407,0,407,0,0,0.0,0.0,1.0,23,23,,,,,,,,,
fire_23654679,2020-01-14,fire_23654679_2020-01-09_2020-01-14,2,4.0,4.0,535,469,469,0,469,0,0,0.0,0.0,1.0,0,0,,,830.0,0.0,0.0,0.0,0.0,0.0,1.0
fire_23756984,2020-02-04,fire_23756984_2020-02-04_2020-02-07,0,2.0,4.0,462,108,396,0,396,0,3,0.0,0.007575757575757576,1.0,0,0,,,,,,,,,
fire_23756984,2020-02-05,fire_23756984_2020-02-04_2020-02-07,1,3.0,4.0,926,508,860,0,860,0,0,0.0,0.0,1.0,0,0,,,,,,,,,
fire_23756984,2020-02-07,fire_23756984_2020-02-04_2020-02-07,2,4.0,4.0,3105,3047,3047,0,3047,0,4,0.0,0.0013127666557269445,1.0,0,0,0.06056829428128176,0.987019388761091,396.0,8.0,0.020202020202020204,0.0,0.0,0.0,1.0
fire_23756984,2020-02-05,fire_23756984_2020-02-05_2020-02-08,0,2.0,4.0,926,249,860,0,860,0,0,0.0,0.0,1.0,0,0,,,,,,,,,
fire_23756984,2020-02-07,fire_23756984_2020-02-05_2020-02-08,1,3.0,4.0,3105,1839,3047,0,3047,0,4,0.0,0.0013127666557269445,1.0,0,0,0.06056829428128176,0.978474114441417,,,,,,,
fire_23756984,2020-02-08,fire_23756984_2020-02-05_2020-02-08,2,4.0,4.0,2046,1980,1980,0,1980,0,0,0.0,0.0,1.0,0,0,,,860.0,0.0,0.0,0.0,0.0,0.0,1.0
fire_23756984,2020-02-07,fire_23756984_2020-02-07_2020-02-09,0,2.0,4.0,3105,919,3047,0,3047,0,4,0.0,0.0013127666557269445,1.0,0,0,0.06056829428128176,0.9568306010928962,,,,,,,
fire_23756984,2020-02-08,fire_23756984_2020-02-07_2020-02-09,1,3.0,4.0,2046,1206,1980,0,1980,0,0,0.0,0.0,1.0,0,0,,,,,,,,,
fire_23756984,2020-02-09,fire_23756984_2020-02-07_2020-02-09,2,4.0,4.0,858,792,792,0,792,0,0,0.0,0.0,1.0,0,0,,,3047.0,0.0,0.0,0.0,0.0,0.0,1.0
fire_23756984,2020-02-08,fire_23756984_2020-02-08_2020-02-11,0,2.0,4.0,2046,608,1980,0,1980,0,0,0.0,0.0,1.0,0,0,,,,,,,,,
fire_23756984,2020-02-09,fire_23756984_2020-02-08_2020-02-11,1,3.0,4.0,858,456,792,0,792,0,0,0.0,0.0,1.0,0,0,,,,,,,,,
fire_23756984,2020-02-11,fire_23756984_2020-02-08_2020-02-11,2,4.0,4.0,933,867,867,0,867,0,0,0.0,0.0,1.0,0,0,,,1980.0,0.0,0.0,0.0,0.0,0.0,1.0
fire_23756984,2020-02-09,fire_23756984_2020-02-09_2020-02-12,0,2.0,4.0,858,216,792,0,792,0,0,0.0,0.0,1.0,0,0,,,,,,,,,
fire_23756984,2020-02-11,fire_23756984_2020-02-09_2020-02-12,1,3.0,4.0,933,515,867,0,867,0,0,0.0,0.0,1.0,0,0,,,,,,,,,
fire_23756984,2020-02-12,fire_23756984_2020-02-09_2020-02-12,2,4.0,4.0,1254,1188,1188,0,1188,0,0,0.0,0.0,1.0,0,0,,,792.0,2.0,0.0025252525252525255,0.0,0.0,0.0,1.0
fire_23756984,2020-02-11,fire_23756984_2020-02-11_2020-02-13,0,2.0,4.0,933,253,867,0,867,0,0,0.0,0.0,1.0,0,0,,,,,,,,,
fire_23756984,2020-02-12,fire_23756984_2020-02-11_2020-02-13,1,3.0,4.0,1254,684,1188,0,1188,0,0,0.0,0.0,1.0,0,0,,,,,,,,,
fire_23756984,2020-02-13,fire_23756984_2020-02-11_2020-02-13,2,4.0,4.0,3734,3668,3668,0,3668,0,40,0.0,0.010905125408942203,1.0,0,0,0.029426417345342668,0.7617488974641675,867.0,0.0,0.0,0.0,0.0,0.0,1.0
fire_23757491,2020-02-26,fire_23757491_2020-02-26_2020-02-28,0,2.0,4.0,525,155,493,0,493,0,12,0.0,0.02434077079107505,1.0,0,0,0.013724368186842832,0.08552631578947367,,,,,,,
fire_23757491,2020-02-27,fire_23757491_2020-02-26_2020-02-28,1,3.0,4.0,522,276,456,0,456,0,0,0.0,0.0,1.0,0,0,,,,,,,,,
fire_23757491,2020-02-28,fire_23757491_2020-02-26_2020-02-28,2,4.0,4.0,482,416,416,0,416,0,0,0.0,0.0,1.0,0,0,,,493.0,0.0,0.0,0.0,0.0,0.0,1.0
fire_23757491,2020-02-27,fire_23757491_2020-02-27_2020-03-04,0,2.0,4.0,522,138,456,0,456,0,0,0.0,0.0,1.0,0,0,,,,,,,,,
fire_23757491,2020-02-28,fire_23757491_2020-02-27_2020-03-04,1,3.0,4.0,482,244,416,0,416,0,0,0.0,0.0,1.0,0,0,,,,,,,,,
